Stock-ticker,Company Name,Sector,Mkt Cap,Added
BEP,Brookfield Renewable Partners,Independent Power and Renewable Elect...,9.03B,No
BERY,Berry Global Group,Containers & Packaging,9.80B,No
BF.A,Brown-Forman,Beverages,31.64B,No
BF.B,Brown-Forman,Beverages,31.64B,No
BG,Bunge,Food Products,13.87B,No
BGNE,BeiGene,Biotechnology,24.70B,No
BHC,Bausch Health Companies,Pharmaceuticals,9.75B,No
BHP,BHP Group,Metals & Mining,172.06B,No
BIDU,Baidu,Interactive Media & Services,53.79B,No
BIIB,Biogen,Biotechnology,35.15B,No
BILI,Bilibili,Entertainment,14.81B,No
BILL,Bill.com Holdings,Software,18.57B,No
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,18.78B,No
BIP,Brookfield Infrastructure Partners LP,Multi-Utilities,18.26B,No
BJ,BJ's Wholesale Club Holdings,Food & Staples Retailing,8.27B,No
BK,Bank of New York Mellon,Capital Markets,52.52B,No
BKI,Black Knight,IT Services,11.62B,No
BKNG,Booking Holdings,Internet & Direct Marketing Retail,100.64B,No
BKR,Baker Hughes Company,Energy Equipment & Services,23.89B,No
BLDR,Builders FirstSource,Building Products,15.07B,No
BLK,BlackRock,Capital Markets,128.92B,No
BLL,Ball Corporation,Containers & Packaging,29.34B,No
BMO,Bank of Montreal,Banks,76.78B,No
BMRN,BioMarin Pharmaceutical,Biotechnology,16.56B,No
BMY,Bristol-Myers Squibb Company,Pharmaceuticals,144.12B,No
BNS,The Bank of Nova Scotia,Banks,89.69B,No
BNTX,BioNTech SE,Biotechnology,47.53B,No
BP,BP plc,"Oil, Gas & Consumable Fuels",105.32B,No
BR,Broadridge Financial Solutions,IT Services,18.66B,No
BRK.A,Berkshire Hathaway,Diversified Financial Services,723.40B,No
BRK.B,Berkshire Hathaway,Diversified Financial Services,723.40B,No
BRKR,Bruker,Life Sciences Tools & Services,10.73B,No
BRO,Brown & Brown,Insurance,18.94B,No
BSAC,Banco Santander-Chile,Banks,8.94B,No
BSBR,Banco Santander Brasil,Banks,43.31B,No
BSMX,Banco Santander Mexico,Banks,8.78B,No
BSX,Boston Scientific,Health Care Equipment & Supplies,63.93B,No
BSY,Bentley Systems,Software-Application,11.09B,No
BTI,British American Tobacco,Tobacco,97.41B,No
BUD,Anheuser-Busch InBev,Beverages,117.78B,No
BURL,Burlington Stores,Specialty Retail,15.36B,No
BWA,BorgWarner,Auto Components,11.93B,No
BX,Blackstone,Capital Markets,82.55B,No
BXP,Boston Properties,Equity Real Estate Investment Trusts...,19.54B,No
BZ,Kanzhun,Staffing & Employment Services,11.96B,No
C,Citigroup,Banks,132.81B,No
CABO,Cable One,Media,9.43B,No
CACC,Credit Acceptance,Consumer Finance,8.39B,No
CAE,CAE Inc.,Aerospace & Defense,8.39B,No
CAG,Conagra Brands,Food Products,16.84B,No
CAH,Cardinal Health,Health Care Providers & Services,14.96B,No
CAJ,Canon,"Technology Hardware, Storage & Periph...",25.53B,No
CAR,Avis Budget Group,Road & Rail,11.02B,No
CARR,Carrier Global,Building Products,44.28B,No
CAT,Caterpillar,Machinery,123.84B,No
CB,Chubb,Insurance,84.54B,No
CBOE,Cboe Global Markets,Capital Markets,12.60B,No
CBRE,CBRE Group,Real Estate Management & Development,34.75B,No
CBSH,Commerce Bancshares,Banks,9.09B,No
CCEP,Coca-Cola Europacific Partners,Beverages,27.22B,No
CCI,Crown Castle International,Equity Real Estate Investment Trusts...,79.59B,No
CCJ,Cameco,"Oil, Gas & Consumable Fuels",9.01B,No
CCK,Crown Holdings,Containers & Packaging,14.47B,No
CCL,Carnival,"Hotels, Restaurants & Leisure",26.75B,No
CDAY,Ceridian HCM Holding,Software,12.53B,No
CDNS,Cadence Design Systems,Software,44.83B,No
CDW,CDW Corporation,"Electronic Equipment, Instruments & C...",26.01B,No
CE,Celanese,Chemicals,18.89B,No
CEA,China Eastern Airlines,Airlines,13.39B,No
CERN,Cerner,Health Care Technology,26.94B,No
CF,CF Industries Holdings,Chemicals,14.25B,No
CFG,Citizens Financial Group,Banks,24.02B,No
CFLT,Confluent,Software-Infrastructure,17.19B,No
CFR,Cullen/Frost Bankers,Banks,9.12B,No
CG,The Carlyle Group,Capital Markets,18.25B,No
CGNX,Cognex,"Electronic Equipment, Instruments & C...",12.49B,No
CHD,Church & Dwight Company,Household Products,26.06B,No
CHH,Choice Hotels International,"Hotels, Restaurants & Leisure",8.47B,No
CHK,Chesapeake Energy,"Oil, Gas & Consumable Fuels",8.38B,No
CHKP,Check Point Software Technologies,Software,16.75B,No
CHRW,C.H. Robinson Worldwide,Air Freight & Logistics,14.08B,No
CHT,Chunghwa Telecom Co.,Diversified Telecommunication Services,33.11B,No
CHTR,Charter Communications,Media,108.95B,No
CHWY,Chewy,Internet & Direct Marketing Retail,18.75B,No
CI,Cigna,Health Care Providers & Services,80.26B,No
CIEN,Ciena,Communications Equipment,11.06B,No
CINF,Cincinnati Financial,Insurance,19.26B,No
CL,Colgate-Palmolive Company,Household Products,70.34B,No
CLF,Cleveland-Cliffs,Metals & Mining,11.03B,No
CLR,Continental Resources,"Oil, Gas & Consumable Fuels",19.11B,No
CLVT,Clarivate,Professional Services,12.36B,No
CLX,The Clorox Company,Household Products,22.93B,No
CM,Canadian Imperial Bank of Commerce,Banks,59.52B,No
CMA,Comerica,Banks,13.28B,No
CMCSA,Comcast,Media,236.12B,No
CME,CME Group,Capital Markets,80.21B,No
CMG,Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",42.15B,No
CMI,Cummins,Machinery,33.98B,No
CMS,CMS Energy,Multi-Utilities,18.47B,No
CNA,CNA Financial,Insurance,12.76B,No
CNC,Centene,Health Care Providers & Services,47.00B,No
CNHI,CNH Industrial,Machinery,22.37B,No
CNI,Canadian National Railway Company,Road & Rail,87.50B,No
CNP,CenterPoint Energy,Multi-Utilities,17.36B,No
CNQ,Canadian Natural Resources,"Oil, Gas & Consumable Fuels",61.32B,No
CNXC,Concentrix,IT Services,8.72B,No
COF,Capital One Financial,Consumer Finance,68.34B,No
COIN,Coinbase Global,Software-Application,60.24B,No
CONE,CyrusOne,Equity Real Estate Investment Trusts...,11.57B,No
COO,The Cooper Companies,Health Care Equipment & Supplies,20.28B,No
COP,ConocoPhillips,"Oil, Gas & Consumable Fuels",114.41B,No
COST,Costco Wholesale,Food & Staples Retailing,223.04B,No
COUP,Coupa Software,Software,10.34B,No
CP,Canadian Pacific Railway,Road & Rail,72.33B,No
CPB,Campbell Soup Company,Food Products,13.99B,No
CPNG,Coupang,Internet Retail,37.15B,No
CPRI,Capri Holdings,"Textiles, Apparel & Luxury Goods",8.74B,No
CPRT,Copart,Commercial Services & Supplies,32.43B,No
CPT,Camden Property Trust,Equity Real Estate Investment Trusts...,16.92B,No
CQP,Cheniere Energy Partners LP,"Oil, Gas & Consumable Fuels",22.63B,No
CRH,CRH Plc,Construction Materials,40.97B,No
CRL,Charles River Laboratories International,Life Sciences Tools & Services,17.92B,No
CRM,Salesforce.com,Software,227.76B,No
CRWD,CrowdStrike Holdings,Software,40.52B,No
CS,Credit Suisse Group AG,Capital Markets,25.24B,No
CSCO,Cisco Systems,Communications Equipment,258.79B,No
CSGP,CoStar Group,Professional Services,29.43B,No
